Día,Impr.,Usuarios únicos,Clics,Coste,Resultados
2024-01-31,4967,--,327,162718,24
2023-12-20,4957,--,467,247125,6
2025-12-23,4939,--,545,291242,2
2023-09-15,4934,--,411,231528,7
2026-03-29,4922,--,249,231602,0
2024-05-29,4920,--,473,336629,19
2023-09-30,4915,--,385,211121,16
2024-09-30,4913,--,397,235239,17
2024-06-25,4909,--,483,251136,17
2025-08-12,4900,--,359,216877,5
2026-02-07,4895,--,326,353684,1
2023-10-19,4894,--,495,283310,9
2024-09-09,4856,--,431,274409,6
2024-09-16,4844,--,434,250327,18
2023-09-26,4834,--,400,226101,5
2025-08-19,4821,--,455,267285,1
2025-09-07,4818,--,389,255797,2
2024-07-28,4815,--,381,271862,5
2023-11-15,4814,--,525,315978,14
2024-08-13,4810,--,333,225175,14
2024-09-08,4803,--,398,288025,11
2024-08-15,4802,--,349,226212,13
2023-09-27,4801,--,510,211343,14
2023-11-27,4798,--,594,300898,35
2024-08-10,4796,--,430,256866,19
2025-09-06,4739,--,393,225289,2
2025-11-19,4731,--,460,295464,4
2023-10-04,4726,--,455,268019,12
2026-01-17,4714,--,546,418353,1
2024-08-31,4704,--,405,204324,26
2024-08-23,4697,--,413,205676,25
2026-01-26,4689,--,562,403274,2
2024-05-25,4687,--,437,355410,20
2025-07-25,4685,--,365,258914,0
2024-06-23,4681,--,438,227003,10
2024-09-21,4664,--,350,198973,12
2023-11-11,4662,--,514,293437,13
2024-05-30,4662,--,461,342477,18
2025-11-20,4658,--,450,290897,1
2024-10-13,4654,--,238,194630,9
2026-02-08,4653,--,309,307010,1
2024-05-22,4647,--,347,384281,20
2023-12-11,4645,--,453,272407,20
2024-07-20,4640,--,368,263053,15
2023-12-21,4634,--,406,244636,5
2023-12-26,4632,--,419,224258,24
2025-11-23,4630,--,465,268460,3
2026-04-05,4622,--,373,247392,0
2026-02-05,4612,--,309,453678,1
2026-01-04,4598,--,542,496037,1
2024-09-17,4597,--,324,256138,8
2024-08-20,4584,--,398,226324,22
2024-08-11,4572,--,338,208038,21
2025-11-24,4572,--,588,312933,14
2023-10-24,4571,--,589,284525,36
2025-11-04,4551,--,500,299399,2
2026-03-31,4544,--,240,266524,0
2023-07-14,4537,--,549,183509,10
2026-02-06,4536,--,330,426822,0
2024-08-29,4530,--,376,202052,13
2023-12-17,4528,--,435,266179,11
2024-08-25,4526,--,418,190615,28
2025-08-20,4512,--,442,226855,1
2023-11-10,4509,--,577,307278,21
2023-10-16,4506,--,475,310023,17
2024-07-03,4505,--,435,262711,10
2024-10-06,4484,--,270,216811,7
2026-01-27,4484,--,542,447321,2
2023-12-19,4470,--,480,257456,28
